Gender,Event,Location,Year,Gold,Silver,Bronze,Name,Nationality,Result
M,Marathon,London,2012,,,B,Wilson Kipsang KIPROTICH,KEN,2:09:37
M,Marathon,Atlanta,1996,,,B,Erick WAINAINA,KEN,2:12:44
W,Marathon,Sydney,2000,,,B,Joyce CHEPCHUMBA,KEN,2:24:45
M,Marathon,Atlanta,1996,,S,,Bong Ju LEE,KOR,2:12:39
M,Marathon,Barcelona,1992,G,,,Young-Cho HWANG,KOR,2:13:23
M,Marathon,Beijing,2008,,S,,Jaouad GHARIB,MAR,2:07:16
M,Marathon,Rome,1960,,S,,Abdesiem RHADI BEN ABDESSELEM,MAR,2:15:42
M,Marathon,Moscow,1980,,S,,Gerard NIJBOER,NED,2:11:20
W,Marathon,Los Angeles,1984,,S,,Grete ANDERSEN,NOR,2:26:18
M,Marathon,Mexico,1968,,,B,Mike RYAN,NZL,2:23:45
M,Marathon,Rome,1960,,,B,Barry MAGEE,NZL,2:17:18
W,Marathon,Barcelona,1992,,,B,Lorraine MOLLER,NZL,2:33:59
M,Marathon,Los Angeles,1984,G,,,Carlos LOPES,POR,2:09:21
W,Marathon,Seoul,1988,G,,,Rosa MOTA,POR,2:25:40
W,Marathon,Los Angeles,1984,,,B,Rosa MOTA,POR,2:26:57
W,Marathon,Sydney,2000,,S,,Lidia SIMON,ROU,2:23:22
W,Marathon,Beijing,2008,G,,,Constantina TOMESCU,ROU,2:26:44
M,Marathon,London,1908,,S,,Charles HEFFERON,RSA,2:56:06
M,Marathon,Stockholm,1912,,S,,Christian W. GITSHAM,RSA,2:37:52
M,Marathon,Atlanta,1996,G,,,Josia THUGWANE,RSA,2:12:36
M,Marathon,Stockholm,1912,G,,,Kennedy Kane MCARTHUR,RSA,2:36:55
W,Marathon,Atlanta,1996,,S,,Valentina YEGOROVA,RUS,2:28:05
W,Marathon,London,2012,,,B,Tatyana PETROVA ARKHIPOVA,RUS,2:23:29
M,Marathon,Helsinki,1952,,,B,Gustaf JANSSON,SWE,2:26:07
M,Marathon,Paris,1900,,,B,Ernst FAST,SWE,3:37:14
M,Marathon,Helsinki,1952,G,,,Emil ZÃTOPEK,TCH,2:23:03
M,Marathon,London,2012,G,,,Stephen KIPROTICH,UGA,2:08:01
M,Marathon,Moscow,1980,,,B,Setymkul DZHUMANAZAROV,URS,2:11:35
M,Marathon,Montreal,1976,,S,,Frank Charles SHORTER,USA,2:10:46
M,Marathon,Athens,2004,,S,,Mebrahtom KEFLEZIGHI,USA,2:11:29
M,Marathon,St Louis,1904,,S,,Albert CORAY,USA,3:34:52
M,Marathon,London,1908,G,,,John HAYES,USA,2:55:18
M,Marathon,Munich,1972,G,,,Frank Charles SHORTER,USA,2:12:20
M,Marathon,St Louis,1904,G,,,Thomas HICKS,USA,3:28:53
W,Marathon,Los Angeles,1984,G,,,Joan BENOIT,USA,2:24:52
M,Marathon,Rio,2016,,,B,Galen RUPP,USA,2:10:05
M,Marathon,London,1908,,,B,Joseph FORSHAW,USA,2:57:10
M,Marathon,Paris,1924,,,B,Clarence DEMAR,USA,2:48:14
M,Marathon,Stockholm,1912,,,B,Gaston STROBINO,USA,2:38:42
M,Marathon,St Louis,1904,,,B,Arthur NEWTON,USA,3:47:33
W,Marathon,Athens,2004,,,B,Deena KASTOR,USA,2:27:20
M,Marathon,Melbourne / Stockholm,1956,,S,,Franjo MIHALIC,YUG,2:26:32
